catalog_id,name,category,origin,target_class,promotion_status,authority,next_requirement
syntax-notation-or-lens-scratch-lens,scratch lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-beginner-lens,beginner lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-textbook-lens,textbook lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-research-lens,research lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-formal-lens,formal lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-numeric-lens,numeric lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-systems-lens,systems lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-code-lens,code lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-agent-lens,agent lens,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
syntax-notation-or-lens-cypher-alias,cypher alias,"syntax, notation, or lens",thread-derived,syntax-pack/lens,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-operator-declaration,operator declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-space-declaration,space declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-measure-declaration,measure declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-manifold-declaration,manifold declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-category-declaration,category declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-functor-declaration,functor declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-natural-transformation-declaration,natural transformation declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-sheaf-declaration,sheaf declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-bundle-declaration,bundle declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-field-declaration,field declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-boundary-declaration,boundary declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-regime-declaration,regime declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-conservation-declaration,conservation declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-symmetry-declaration,symmetry declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-transform-declaration,transform declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-approximation-declaration,approximation declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-bound-declaration,bound declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-singularity-declaration,singularity declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-branch-declaration,branch declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-observation-declaration,observation declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-intervention-declaration,intervention declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-counterfactual-declaration,counterfactual declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-uncertainty-declaration,uncertainty declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-calibration-declaration,calibration declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-surrogate-declaration,surrogate declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-digital-twin-declaration,digital twin declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-mechanism-declaration,mechanism declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-market-declaration,market declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-network-declaration,network declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-population-declaration,population declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-reaction-declaration,reaction declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-material-declaration,material declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-quantum-system-declaration,quantum system declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-causal-model-declaration,causal model declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-benchmark-declaration,benchmark declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-standard-declaration,standard declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-notebook-declaration,notebook declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-course-declaration,course declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-proof-strategy-declaration,proof strategy declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-solver-portfolio-declaration,solver portfolio declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-world-bridge-declaration,world bridge declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-multiworld-declaration,multiworld declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
wave-16-language-gap-artifact-family-declaration,artifact family declaration,Wave 16 language gap,wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-00-general-and-overarching-topics-collections,MSC 00 — General and overarching topics; collections,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-01-history-and-biography,MSC 01 — History and biography,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-03-mathematical-logic-and-foundations,MSC 03 — Mathematical logic and foundations,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-05-combinatorics,MSC 05 — Combinatorics,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-06-order-lattices-ordered-algebraic-structures,"MSC 06 — Order, lattices, ordered algebraic structures",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-08-general-algebraic-systems,MSC 08 — General algebraic systems,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-11-number-theory,MSC 11 — Number theory,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-12-field-theory-and-polynomials,MSC 12 — Field theory and polynomials,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-13-commutative-algebra,MSC 13 — Commutative algebra,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-14-algebraic-geometry,MSC 14 — Algebraic geometry,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-15-linear-and-multilinear-algebra-matrix-theory,MSC 15 — Linear and multilinear algebra; matrix theory,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-16-associative-rings-and-algebras,MSC 16 — Associative rings and algebras,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-17-nonassociative-rings-and-algebras,MSC 17 — Nonassociative rings and algebras,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-18-category-theory-homological-algebra,MSC 18 — Category theory; homological algebra,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-19-k-theory,MSC 19 — K-theory,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-20-group-theory-and-generalizations,MSC 20 — Group theory and generalizations,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-22-topological-groups-lie-groups,"MSC 22 — Topological groups, Lie groups",MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-26-real-functions,MSC 26 — Real functions,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-28-measure-and-integration,MSC 28 — Measure and integration,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-30-functions-of-a-complex-variable,MSC 30 — Functions of a complex variable,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-31-potential-theory,MSC 31 — Potential theory,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-32-several-complex-variables-and-analytic-spaces,MSC 32 — Several complex variables and analytic spaces,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-33-special-functions,MSC 33 — Special functions,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-34-ordinary-differential-equations,MSC 34 — Ordinary differential equations,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-35-partial-differential-equations,MSC 35 — Partial differential equations,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-37-dynamical-systems-and-ergodic-theory,MSC 37 — Dynamical systems and ergodic theory,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-39-difference-and-functional-equations,MSC 39 — Difference and functional equations,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-40-sequences-series-summability,"MSC 40 — Sequences, series, summability",MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-41-approximations-and-expansions,MSC 41 — Approximations and expansions,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-42-harmonic-analysis-on-euclidean-spaces,MSC 42 — Harmonic analysis on Euclidean spaces,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-43-abstract-harmonic-analysis,MSC 43 — Abstract harmonic analysis,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-44-integral-transforms-operational-calculus,"MSC 44 — Integral transforms, operational calculus",MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-45-integral-equations,MSC 45 — Integral equations,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-46-functional-analysis,MSC 46 — Functional analysis,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-47-operator-theory,MSC 47 — Operator theory,MSC2020 top-level map,wave16-gap,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-49-calculus-of-variations-and-optimal-control-optimization,MSC 49 — Calculus of variations and optimal control; optimization,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-51-geometry,MSC 51 — Geometry,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-52-convex-and-discrete-geometry,MSC 52 — Convex and discrete geometry,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-53-differential-geometry,MSC 53 — Differential geometry,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-54-general-topology,MSC 54 — General topology,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-55-algebraic-topology,MSC 55 — Algebraic topology,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-57-manifolds-and-cell-complexes,MSC 57 — Manifolds and cell complexes,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-58-global-analysis-analysis-on-manifolds,"MSC 58 — Global analysis, analysis on manifolds",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-60-probability-theory-and-stochastic-processes,MSC 60 — Probability theory and stochastic processes,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-62-statistics,MSC 62 — Statistics,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-65-numerical-analysis,MSC 65 — Numerical analysis,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-68-computer-science,MSC 68 — Computer science,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-70-mechanics-of-particles-and-systems,MSC 70 — Mechanics of particles and systems,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-74-mechanics-of-deformable-solids,MSC 74 — Mechanics of deformable solids,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-76-fluid-mechanics,MSC 76 — Fluid mechanics,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-78-optics-electromagnetic-theory,"MSC 78 — Optics, electromagnetic theory",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-80-classical-thermodynamics-heat-transfer,"MSC 80 — Classical thermodynamics, heat transfer",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-81-quantum-theory,MSC 81 — Quantum theory,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-82-statistical-mechanics-structure-of-matter,"MSC 82 — Statistical mechanics, structure of matter",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-83-relativity-and-gravitational-theory,MSC 83 — Relativity and gravitational theory,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-85-astronomy-and-astrophysics,MSC 85 — Astronomy and astrophysics,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-86-geophysics,MSC 86 — Geophysics,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-90-operations-research-mathematical-programming,"MSC 90 — Operations research, mathematical programming",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-91-game-theory-economics-social-and-behavioral-sciences,"MSC 91 — Game theory, economics, social and behavioral sciences",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-92-biology-and-other-natural-sciences,MSC 92 — Biology and other natural sciences,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-93-systems-theory-control,MSC 93 — Systems theory; control,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-94-information-and-communication-circuits,"MSC 94 — Information and communication, circuits",MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
msc2020-top-level-map-msc-97-mathematics-education,MSC 97 — Mathematics education,MSC2020 top-level map,thread-derived,field-pack/theory/capability,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-philosophy-of-mathematics,philosophy of mathematics,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-history-of-mathematics,history of mathematics,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-ethnomathematics,ethnomathematics,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-mathematical-logic,mathematical logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-classical-logic,classical logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-intuitionistic-logic,intuitionistic logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-modal-logic,modal logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-temporal-logic,temporal logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-epistemic-logic,epistemic logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-linear-logic,linear logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-relevance-logic,relevance logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-paraconsistent-logic,paraconsistent logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-many-valued-logic,many-valued logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-fuzzy-logic,fuzzy logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-probabilistic-logic,probabilistic logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-algebraic-logic,algebraic logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-categorical-logic,categorical logic,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-set-theory,set theory,"foundations, logic, and mathematical knowledge",thread-derived,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-descriptive-set-theory,descriptive set theory,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-large-cardinal-theory,large cardinal theory,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
foundations-logic-and-mathematical-knowledge-forcing-and-independence,forcing and independence,"foundations, logic, and mathematical knowledge",wave16-gap,unclassified-review,catalog-only,V16 catalog,"owner classification, Feature Capsule, conformance, implementation disposition"
